id,pvalue,log1P,log2fc,t.value,proteinID,geneName,DD1,DD2,DD3,DE1,DE2,DE3,DD1_impute,DD2_impute,DD3_impute,DE1_impute,DE2_impute,DE3_impute,Cys
1,0.0934193402016913,1.0295632043547716,-0.36827001948724103,-2.192611949287233,A2A432,Cul4b,18.961692730779305,19.07114284095149,18.907624201702333,18.485223971657064,18.418972594210313,18.931453149104033,18.961692730779305,19.07114284095149,18.907624201702333,18.485223971657064,18.418972594210313,18.931453149104033,12
2,0.0027535965870855716,2.5600996852976095,1.1075599518611199,6.585172948636547,A2A6T1,Cdr2l,17.61439352983663,17.789915664048692,17.853553233309988,19.034589428226795,18.989095090041822,18.556857764510056,17.61439352983663,17.789915664048692,17.853553233309988,19.034589428226795,18.989095090041822,18.556857764510056,7
4,4.0586513234881785e-7,6.391618257081194,6.072896969875554,61.980353902682566,A2AG50,Map7d2,NA,NA,NA,19.873966716029656,19.577860279691098,19.69086078143845,13.611400351227974,13.732453152064126,13.580143364240437,19.873966716029656,19.577860279691098,19.69086078143845,7
5,0.019501261181885034,1.7099373011184151,0.3945430592147616,3.7761068801191278,A2AGT5,Ckap5,18.19128095477434,18.528866128411735,18.425420817019052,18.718532876069222,18.787303181976394,18.823361019803794,18.19128095477434,18.528866128411735,18.425420817019052,18.718532876069222,18.787303181976394,18.823361019803794,29
6,0.9225420035835465,0.03501385117511527,-0.0354626690546489,-0.10350771520552127,A2AN08,Ubr4,18.553936721741078,19.240348805528516,18.354232160979194,18.868038792640696,18.255710943662734,18.918379944781407,18.553936721741078,19.240348805528516,18.354232160979194,18.868038792640696,18.255710943662734,18.918379944781407,122
7,0.03783068343698239,1.4221558128116942,-1.1738330108883446,-3.055328724983956,A2AR02,Ppig,21.557446873448075,20.39968264090781,20.573576926581296,19.404472192931006,19.78621856873813,19.818516646603015,21.557446873448075,20.39968264090781,20.573576926581296,19.404472192931006,19.78621856873813,19.818516646603015,9
14,0.853302783777724,0.06889683754170521,-0.04410942579794863,-0.19717724599893754,B2RQC6,Cad,20.08199826751838,20.60168375060847,20.043134114283692,20.368476621038326,19.936609186024704,20.289402047953665,20.08199826751838,20.60168375060847,20.043134114283692,20.368476621038326,19.936609186024704,20.289402047953665,45
15,0.0015140018463731294,2.8198735951997684,0.31699788107998117,7.72221662150186,B2RY56,Rbm25,NA,NA,18.74953557703844,19.020442863757147,19.017754484850222,19.13242441994574,18.708538901062187,18.76155364721254,18.74953557703844,19.020442863757147,19.017754484850222,19.13242441994574,6
16,0.04066788029938038,1.3907484634024734,-0.510099717202511,-2.981763128715105,B9EJR8,Dnaaf5,NA,18.193640857722585,17.790361225159916,17.47500506099405,17.219584506138506,17.623209927415754,17.864096563273343,18.193640857722585,17.790361225159916,17.47500506099405,17.219584506138506,17.623209927415754,18
17,0.004305379414885781,2.3659885699872256,-1.3709559105513094,-5.832743804993716,C0HKE6,Hist1h2af;Hist1h2ah;Hist3h2a;H2afj;Hist1h2ak;Hist2h2ac;Hist2h2aa1;H2afx,NA,23.438094348367297,23.334563544703425,21.835840703135034,22.355872611091993,21.616521922218073,23.148445075028306,23.438094348367297,23.334563544703425,21.835840703135034,22.355872611091993,21.616521922218073,0
42,0.01982813005405641,1.7027182411904385,0.26700722969507495,3.7568968030233663,D3YXK2,Safb,NA,18.34581236804286,NA,18.70161105291107,18.476350674110837,18.61032559187872,18.274833671216964,18.34581236804286,18.366619590555583,18.70161105291107,18.476350674110837,18.61032559187872,9
48,0.3700824566845418,0.431701501626528,-0.19477194476946025,-1.008934076579987,E9PVA8,Gcn1l1,20.09751265709477,20.471099640798325,20.03965806116447,20.169499338919977,19.73385279211502,20.12060239371419,20.09751265709477,20.471099640798325,20.03965806116447,20.169499338919977,19.73385279211502,20.12060239371419,49
50,0.32221283416597785,0.4918571650451172,0.1626675739761687,1.128489791442233,E9PZJ8,Ascc3,NA,18.373052048906818,NA,18.635413465057844,18.23645337843202,18.633534517092514,18.229093446659395,18.373052048906818,18.415253143087654,18.635413465057844,18.23645337843202,18.633534517092514,28
51,0.2920041399664555,0.5346109911822623,-0.8396168368624046,-1.2125897655446827,E9Q557,Dsp,21.783687293009898,20.11946297411497,19.63919937188593,19.9877358756246,NA,19.831270126787793,21.783687293009898,20.11946297411497,19.63919937188593,19.9877358756246,19.204493126011187,19.831270126787793,43
54,0.08710043765276643,1.0599796627913733,-0.8464358709052853,-2.2556313708477735,E9Q7G0,Numa1,20.57181929077819,19.497516628325908,19.494589991181822,19.146265364478616,19.088819288121098,18.78953364497036,20.57181929077819,19.497516628325908,19.494589991181822,19.146265364478616,19.088819288121098,18.78953364497036,19
57,0.611996366624904,0.21325115621953517,0.04787647723304289,0.5493445244752683,F6ZDS4,Tpr,18.617589425724685,18.823951823122147,18.87153229436328,18.888249758616876,18.75329510896285,18.81515810732952,18.617589425724685,18.823951823122147,18.87153229436328,18.888249758616876,18.75329510896285,18.81515810732952,7
62,0.05046216651749332,1.2970341076354517,-0.24380419821444121,-2.767459696282203,O08547,Sec22b,20.470503978097504,20.556558442422645,20.604672666914347,20.27946095751951,20.445867604052218,20.17499393121944,20.470503978097504,20.556558442422645,20.604672666914347,20.27946095751951,20.445867604052218,20.17499393121944,3
63,0.5220581315672507,0.28228113528655696,0.052107633672505926,0.7007870341264275,O08553,Dpysl2,21.03590522913891,21.23309768755798,21.156905204248858,21.112607493755842,21.276283463814302,21.19334006439312,21.03590522913891,21.23309768755798,21.156905204248858,21.112607493755842,21.276283463814302,21.19334006439312,7
65,0.010912546592929982,1.9620738889899991,-0.2230813822294877,-4.489195316030606,O08582,Gtpbp1,20.669514862718223,20.589665774675545,20.682860887965962,20.488660013322868,20.350136348623884,20.434001016724523,20.669514862718223,20.589665774675545,20.682860887965962,20.488660013322868,20.350136348623884,20.434001016724523,12
67,0.028682229064440692,1.5423871001183167,1.0996200023760245,3.345738863799964,O08585,Clta,18.11943764345557,17.954071323516228,NA,19.1589646384047,19.47611330415266,18.442246983827225,18.11943764345557,17.954071323516228,17.704955952284706,19.1589646384047,19.47611330415266,18.442246983827225,1
68,0.9029913317864822,0.044316418651463775,0.017629228236199168,0.1297984681358815,O08599,Stxbp1,NA,19.68203787226802,19.63778524215019,19.789947494406245,19.38004669073565,19.72465706568214,19.52194045169723,19.68203787226802,19.63778524215019,19.789947494406245,19.38004669073565,19.72465706568214,7
69,0.005949402016508988,2.225526683680097,-0.3604603056838549,-5.333957688981014,O08663,Metap2,20.037246647218712,19.96775537217202,19.85340093944185,19.597670688101847,19.518530221410533,19.66082113226864,20.037246647218712,19.96775537217202,19.85340093944185,19.597670688101847,19.518530221410533,19.66082113226864,15
70,0.019178535475240267,1.7171845597986097,0.7697968709201106,3.7954553617999522,O08709,Prdx6,20.895856291815907,21.103031625326754,21.547690973970855,21.829041356595052,21.97956056445533,22.047367582823465,20.895856291815907,21.103031625326754,21.547690973970855,21.829041356595052,21.97956056445533,22.047367582823465,2
71,0.062361361112357974,1.205084414375831,-0.16818557745880724,-2.564182415775714,O08749,Dld,21.066906425855993,20.993482982569226,21.13157063534604,20.805224302605513,20.89659552888931,20.98558347990002,21.066906425855993,20.993482982569226,21.13157063534604,20.805224302605513,20.89659552888931,20.98558347990002,9
72,0.23097997102518378,0.6364256774687452,-0.4153688098034891,-1.4113512789972031,O08756,Hsd17b10,19.69051981147813,20.029718590416184,20.657178863200173,19.59391992650584,19.86426474965614,19.67312615952204,19.69051981147813,20.029718590416184,20.657178863200173,19.59391992650584,19.86426474965614,19.67312615952204,2
73,0.7980699336068018,0.09795905044278033,0.052651471796092864,0.27341643063028453,O08759,Ube3a,18.487934217837854,18.95526393861194,18.57765747660776,18.693296371517444,18.96395157463583,18.52156210229256,18.487934217837854,18.95526393861194,18.57765747660776,18.693296371517444,18.96395157463583,18.52156210229256,17
75,0.06915007844842985,1.160207322861961,-0.16900220110606412,-2.4672574962170324,O08788,Dctn1,18.893265975043853,19.01026037300104,18.947380106244054,18.85248683847297,18.66296037823513,18.82845263426266,18.893265975043853,19.01026037300104,18.947380106244054,18.85248683847297,18.66296037823513,18.82845263426266,12
76,0.2760101991681342,0.5590748695268077,-0.15489598821973516,-1.2604893216107542,O08795,Prkcsh,19.455852946514778,19.342842944421424,19.238903826367704,19.40103782259144,19.06513209506528,19.10674183498797,19.455852946514778,19.342842944421424,19.238903826367704,19.40103782259144,19.06513209506528,19.10674183498797,17
77,0.021646619463924356,1.6646099174536804,0.2677003214469913,3.656519154111036,O08807,Prdx4,24.00658769450964,23.99464001916685,23.857757803687644,24.26670877563839,24.285174160662297,24.11020354540443,24.00658769450964,23.99464001916685,23.857757803687644,24.26670877563839,24.285174160662297,24.11020354540443,4
78,0.6298356277477066,0.20077277638191907,-0.09686520664308063,-0.5210685226497176,O08810,Eftud2,19.49745815372736,19.904893297704504,19.98648648845313,19.485892186299633,19.77711080724961,19.83523932640651,19.49745815372736,19.904893297704504,19.98648648845313,19.485892186299633,19.77711080724961,19.83523932640651,17
79,0.01065757898033059,1.9723414402342285,0.28415441810797404,4.5200916073668305,O08848,Trove2,18.932087846074687,19.111257954979795,19.00689582003124,19.337517375284754,19.230133048013254,19.335054452111628,18.932087846074687,19.111257954979795,19.00689582003124,19.337517375284754,19.230133048013254,19.335054452111628,13
81,0.006181837215614804,2.208882435262852,0.850854699628151,5.277207180155601,O08915,Aip,18.42910429572018,18.74655368400661,18.81597112230786,19.446877329066062,19.369797536313648,19.727518335539397,18.42910429572018,18.74655368400661,18.81597112230786,19.446877329066062,19.369797536313648,19.727518335539397,8
86,0.0022307830521847505,2.651542663611444,0.4197708529776918,6.967418011034749,O09061,Psmb1,NA,19.515973120085576,19.657597581833468,20.055896704326376,20.004977524509513,19.9136403495223,19.54163131750607,19.515973120085576,19.657597581833468,20.055896704326376,20.004977524509513,19.9136403495223,4
87,0.017003295692245225,1.7694668926079002,0.4423616913090207,3.9369516511744984,O09106,Hdac1;Hdac2,19.62848825986479,19.90089038740104,19.751939537841672,20.11324363073907,20.36271010468536,20.132449523610134,19.62848825986479,19.90089038740104,19.751939537841672,20.11324363073907,20.36271010468536,20.132449523610134,10
93,0.04015725934686002,1.396235934586909,-1.138308757447124,-2.9945511193688676,O35129,Phb2,20.838382219145274,21.861321700534262,21.999069617890747,20.492576923462252,20.56374370472166,20.227526637044996,20.838382219145274,21.861321700534262,21.999069617890747,20.492576923462252,20.56374370472166,20.227526637044996,0
96,0.5293115801375466,0.27628860452597725,0.0893838118905208,0.6879327878199462,O35215,Ddt,20.277759599123243,20.423472960565622,20.532123788330445,20.48885611160248,20.691406165812253,20.321245506276135,20.277759599123243,20.423472960565622,20.532123788330445,20.48885611160248,20.691406165812253,20.321245506276135,2
99,0.15179221273946916,0.8187505080915737,0.3184056194854854,1.7680059921874705,O35286,Dhx15,20.01862400386755,20.538010797455783,20.20633713512404,20.684231538306825,20.379835229388128,20.654122027208878,20.01862400386755,20.538010797455783,20.20633713512404,20.684231538306825,20.379835229388128,20.654122027208878,14
102,0.8240834799329882,0.08402879189770342,-0.16741352193742642,-0.23729866444705483,O35326,Srsf5,21.842377968284147,19.74136164559274,19.757289080733713,20.150411720526048,20.201678845147793,20.486697563124483,21.842377968284147,19.74136164559274,19.757289080733713,20.150411720526048,20.201678845147793,20.486697563124483,2
108,0.008211732816315796,2.085565189633571,1.678814756437891,4.871341836752239,O35593,Psmd14,19.777415862597625,20.425215903299385,20.959854812403282,22.152424733285056,22.03516691720813,22.011339197120773,19.777415862597625,20.425215903299385,20.959854812403282,22.152424733285056,22.03516691720813,22.011339197120773,3
