id,pvalue,log1P,log2fc,t.value,proteinID,geneName,LFQ.intensity.B1,LFQ.intensity.B2,LFQ.intensity.B3,LFQ.intensity.D1,LFQ.intensity.D2,LFQ.intensity.D3,impute_LFQ.intensity.B1,impute_LFQ.intensity.B2,impute_LFQ.intensity.B3,impute_LFQ.intensity.D1,impute_LFQ.intensity.D2,impute_LFQ.intensity.D3,p.adjust,Cys
1,0.15957824980906174,0.797026302406405,-0.31561769237211124,-1.725188330654468,A2A432,Cul4b;Cul4a,19.12613475875209,18.667749123837986,18.555734986326723,18.57385425238375,18.389908573013194,18.439002966403518,19.12613475875209,18.667749123837986,18.555734986326723,18.57385425238375,18.389908573013194,18.439002966403518,0.26172991522908845,12
2,1.6591647509932765e-5,4.780110487456797,5.696387080180571,24.454508301691835,A2A6T1,Cdr2l,NA,NA,NA,18.273486021679958,17.7503537003894,18.42828655725935,12.383162073968899,12.670950642221253,12.308852322596842,18.273486021679958,17.7503537003894,18.42828655725935,1.7492745607454972e-4,7
3,4.145688808649671e-6,5.382403300833216,7.022774044266372,34.636680361031935,A2AG50,Map7d2,NA,NA,NA,19.566849335339246,19.158446973520444,19.764839202283433,12.411998618941748,12.662497283191291,12.347317476210971,19.566849335339246,19.158446973520444,19.764839202283433,5.173650421406681e-5,7
4,0.14419242752293132,0.8410575466301737,0.40784348340489984,1.8121142820207086,A2AGT5,Ckap5,19.296768367502114,18.766069452606036,18.540075050782274,19.275942602609906,19.242397261970872,19.308103456524346,19.296768367502114,18.766069452606036,18.540075050782274,19.275942602609906,19.242397261970872,19.308103456524346,0.24221674704726995,29
6,0.34450454794606733,0.46280504041863807,-0.10825537492002368,-1.070963639054917,A2AN08,Ubr4,19.47591546601611,19.36018266751028,19.146439403328078,19.22043501252465,19.1665848272317,19.27075157233805,19.47591546601611,19.36018266751028,19.146439403328078,19.22043501252465,19.1665848272317,19.27075157233805,0.4665881086800004,122
7,0.05049700599015709,1.2967343708021344,-1.3629667052388683,-2.7667862166519885,A2AR02,Ppig,20.705058596819732,19.667922331075403,21.3593356284926,NA,19.199356030557787,19.242257686843455,20.705058596819732,19.667922331075403,21.3593356284926,19.20180272326989,19.199356030557787,19.242257686843455,0.11109077277526819,9
14,0.36735007086360216,0.4349198720420943,-0.11426455071518049,-1.0153765642708905,B2RQC6,Cad,20.630231569210057,20.61737419447844,20.322566353281548,20.319261965577486,20.413487447158964,20.494629052088047,20.630231569210057,20.61737419447844,20.322566353281548,20.319261965577486,20.413487447158964,20.494629052088047,0.4860783344468003,45
19,0.6060789595803076,0.21747079253969911,-0.10473317755527134,-0.5588366277818952,B9EJR8,Dnaaf5,18.378565810000563,17.963302519181877,17.879990003169915,17.900595616944408,18.1782077125099,17.828855470232234,18.378565810000563,17.963302519181877,17.879990003169915,17.900595616944408,18.1782077125099,17.828855470232234,0.7024320505230263,18
21,0.005040752804168514,2.297504599609629,-1.0272422628005309,-5.5850302924315685,C0HKE6,Hist1h2af;Hist1h2ah;Hist3h2a;H2afj;Hist1h2ak;Hist2h2ac;Hist2h2aa1;H2afx,23.36131842012439,23.65741876895133,23.2766810334598,22.459289522700587,22.62066640952936,22.13373550190398,23.36131842012439,23.65741876895133,23.2766810334598,22.459289522700587,22.62066640952936,22.13373550190398,0.01914546794875184,0
55,0.7741815922391134,0.11115715913953596,-0.027672296252610806,-0.30697218341898985,E9PVA8,Gcn1l1,19.607655403706495,19.425584727041766,19.436280477805614,19.35285381725136,19.446271578865048,19.587378323679626,19.607655403706495,19.425584727041766,19.436280477805614,19.35285381725136,19.446271578865048,19.587378323679626,0.831276635038135,49
56,0.0047633155520465245,2.322090647131454,0.6413202210171569,5.672949049229353,E9PZJ8,Ascc3,NA,17.888992902565278,17.67796733587132,18.48981660806801,18.21380670913106,18.477299763585922,17.690002179296933,17.888992902565278,17.67796733587132,18.48981660806801,18.21380670913106,18.477299763585922,0.01838749513898808,28
59,0.3689979591767033,0.4329760357941843,-0.1761556653718408,-1.0114861313110741,E9Q557,Dsp,20.727003060591468,20.65674256869148,20.280140939483815,20.26407601528221,NA,20.588751229452598,20.727003060591468,20.65674256869148,20.280140939483815,20.26407601528221,20.282592327916433,20.588751229452598,0.4868225502406776,43
60,0.43445238361421834,0.3620578156866607,-0.07010909811201316,-0.8678269707517985,E9Q7G0,Numa1,19.07929205883113,18.805649418878136,18.89225819591816,18.860662664135283,NA,18.852883020005294,19.07929205883113,18.805649418878136,18.89225819591816,18.860662664135283,18.853326695150812,18.852883020005294,0.551065026654586,19
61,0.5141875914939473,0.288878408071864,0.168664230803671,0.7148823212487664,E9QAT4,Sec16a,18.5803100998159,18.467581670531544,18.25114026255762,18.274896792458357,19.007799275439194,18.52232865741853,18.5803100998159,18.467581670531544,18.25114026255762,18.274896792458357,19.007799275439194,18.52232865741853,0.6226251726703936,23
62,0.4444137656135988,0.35221249735170035,-0.15550372845204308,-0.8475708595806439,F6ZDS4,Tpr,19.338061702243504,18.93298171813437,19.192605865365103,19.066341505445017,19.200936908880017,18.729859686061808,19.338061702243504,18.93298171813437,19.192605865365103,19.066341505445017,19.200936908880017,18.729859686061808,0.5586002418760857,7
